apprehension_date,apprehension_state,apprehension_aor,final_program,final_program_group,apprehension_method,apprehension_criminality,case_status,case_category,departed_date,departure_country,final_order_yes_no,final_order_date,birth_year,citizenship_country,gender,apprehension_site_landmark,unique_identifier,apprehension_date_time,duplicate_likely,file_original,sheet_original,row_original
2023-09-05,WASHINGTON,Seattle Area of Responsibility,Fugitive Operations,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2023-10-25,MEXICO,YES,2023-10-04,1972.0,MEXICO,Male,COYOTE RIDGE CORRECTIONS,efbbf8ed822be726697a2b3eea0890d402e23781,2023-09-05 09:38:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,348078
2023-09-05,WASHINGTON,Seattle Area of Responsibility,Fugitive Operations,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8G] Expedited Removal - Credible Fear Referral,2024-01-11,GUATEMALA,YES,2023-12-05,1999.0,GUATEMALA,Male,COYOTE RIDGE CORRECTIONS,c867926afbbf66747761aee71b46d4512389bf5b,2023-09-05 09:55:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,291166
2023-09-05,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1984.0,RUSSIA,Male,SEATTLE NON-DETAINED DOCKET,5a34880669fdf8ac253a5192caa7df5ba33c4ec1,2023-09-05 12:08:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,130931
2023-09-05,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-05-08,RUSSIA,YES,2024-05-30,1989.0,RUSSIA,Female,SEATTLE NON-DETAINED DOCKET,36ffb8251d18806363c880e3054b93f4023bf4c0,2023-09-05 12:17:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,79871
2023-09-05,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-05-08,RUSSIA,YES,2024-05-30,2018.0,RUSSIA,Female,SEATTLE NON-DETAINED DOCKET,d326cbaf4c63ddb617e23dc740223c149fbe0947,2023-09-05 13:03:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,306769
2023-09-05,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-05-08,RUSSIA,YES,2024-05-30,2021.0,RUSSIA,Male,SEATTLE NON-DETAINED DOCKET,4b301588f09883cdef5f08c49baea60eb2187c44,2023-09-05 13:08:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,109156
2023-09-06,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,A-Proceedings Terminated,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2005.0,INDIA,Male,SEATTLE NON-DETAINED DOCKET,6050bb2a8ec5a77adf60bc050c6cede47d372ae7,2023-09-06 09:00:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,139687
2023-09-06,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1994.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,9eebab747f39741e5827161eeaa7549184adf4c7,2023-09-06 09:23:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,230656
2023-09-06,WASHINGTON,Seattle Area of Responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2006.0,GUATEMALA,Male,Spokane CAP,7133874fc72bd5e7ae7eaddb76a851defc921eba,2023-09-06 11:13:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,164217
2023-09-06,WASHINGTON,Seattle Area of Responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2024-01-16,MEXICO,YES,2018-05-30,1981.0,MEXICO,Male,YAKIMA Fug Ops,3653f00bbad976847f50cce4202664335112265a,2023-09-06 13:08:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,78899
2023-09-06,WASHINGTON,Seattle Area of Responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,3 Other Immigration Violator,A-Proceedings Terminated,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2006.0,HONDURAS,Female,Spokane CAP,e9e97cf36b7a03a47a5f9fa6507f89496418d354,2023-09-06 14:59:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,339768
2023-09-06,WASHINGTON,Seattle Area of Responsibility,Fugitive Operations,ICE,CAP Federal Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2023-10-18,GUATEMALA,YES,2023-10-13,1997.0,GUATEMALA,Male,FEDERAL DETENTION CENTER (FDC),e57260383781ced989371cab211c9439cda5af64,2023-09-06 15:01:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,333216
2023-09-06,WASHINGTON,Seattle Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Federal Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2024-02-13,MEXICO,YES,2024-01-30,2001.0,MEXICO,Female,FEDERAL DETENTION CENTER (FDC),a5f2402e22788fa9feee4e6094e3a9bc5a92d9b7,2023-09-06 15:03:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,241022
2023-09-06,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Other efforts,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1991.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,59bae6ba86f77d998da74ec879c1b1f5a0ee7f45,2023-09-06 15:20:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,130254
2023-09-06,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-07,COLOMBIA,YES,2024-05-14,1986.0,COLOMBIA,Male,SEATTLE NON-DETAINED DOCKET,9c2f99c20404a6c1308b5d0930bf814161f436ce,2023-09-06 15:54:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,226652
2023-09-06,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,2016.0,COLOMBIA,Female,SEATTLE NON-DETAINED DOCKET,ccea260eb22dfe7b07f6592b1ff4a1291d8a37d4,2023-09-06 16:05:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,297650
2023-09-07,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Other efforts,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1963.0,VENEZUELA,Female,SEATTLE NON-DETAINED DOCKET,3c37358455744da53a51ca163962b614f245ffee,2023-09-07 10:15:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,87409
2023-09-07,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Other efforts,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1981.0,VENEZUELA,Female,SEATTLE NON-DETAINED DOCKET,6d1d16a23047a292cb11a105c2d7563ac4171df2,2023-09-07 10:17:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,158142
2023-09-07,WASHINGTON,Seattle Area of Responsibility,Fugitive Operations,ICE,CAP Federal Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2024-06-29,TAIWAN,YES,2024-02-08,1975.0,"CHINA, PEOPLES REPUBLIC OF",Female,FEDERAL DETENTION CENTER (FDC),5b9a7307296b9eca06db373ec5f52693514ebd64,2023-09-07 11:17:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,132969
2023-09-07,WASHINGTON,Seattle Area of Responsibility,Fugitive Operations,ICE,Located,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-09-10,MEXICO,YES,2024-08-15,1987.0,MEXICO,Male,YAKIMA Fug Ops,85a2bd9ad5e3b0dcd5d5db37797022a4e85f564c,2023-09-07 12:43:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,193905
2023-09-07,WASHINGTON,Seattle Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2024-05-07,MEXICO,YES,2024-03-27,1967.0,MEXICO,Male,STAFFORD CREEK CORRECTIONS,d57f61f4928c75714fc9e854ca02c4e82ed78edd,2023-09-07 12:56:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,310228
2023-09-07,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1994.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,4d6cb9deb4d4ef94f935c8d23fd34675a54c101a,2023-09-07 15:08:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,112440
2023-09-07,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1994.0,PERU,Male,SEATTLE NON-DETAINED DOCKET,a9c21f7c75b3d8efbe695d0d3829da7da8d445b2,2023-09-07 15:24:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,246559
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1998.0,COLOMBIA,Female,SEATTLE NON-DETAINED DOCKET,58660b5131ed55a2d853d7fa7fdfa834f715da83,2023-09-08 09:31:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,128349
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8A] Excludable / Inadmissible - Hearing Not Commenced,2025-04-14,NICARAGUA,NO,,1977.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,b5e09bc7086ef013f4d39d8b628a19ec270bd276,2023-09-08 09:54:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,264002
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,,,NO,,2006.0,GUATEMALA,Female,SEATTLE NON-DETAINED DOCKET,49ddb4db97d7604cde33d8250ef51f2ce2359387,2023-09-08 10:00:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,107291
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1986.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,56c5f8d52c16178fc88df15e520ef30c2e48082e,2023-09-08 10:49:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,126034
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1998.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,e15d4a4383bd77934ece36e6710eddae6454a17b,2023-09-08 11:03:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,327286
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1997.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,ea12d9d673ca93bd2488b605a45378db58da4530,2023-09-08 12:56:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,339991
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2000.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,8e189438606d5d1dca97201e585b725adedc809b,2023-09-08 13:45:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,206300
2023-09-08,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1991.0,COLOMBIA,Female,SEATTLE NON-DETAINED DOCKET,f52308a6c9c24a600a4c8a6e3a1f2ea908ccca8e,2023-09-08 14:32:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,355755
2023-09-09,WASHINGTON,Seattle Area of Responsibility,Detained Docket Control,ICE,ERO Reprocessed Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2002.0,INDIA,Female,NORTHWEST DETENTION CENTER DETAINED DOCKET,b7cdcb33073a57017099756db74ef5f6bb4f1db4,2023-09-09 14:00:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,266843
2023-09-11,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1977.0,COLOMBIA,Female,ISLAND COUNTY SHERIFF,50a9bf3dd354eeee9a3649486b5fa065d41e9844,2023-09-11 09:03:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,117172
2023-09-11,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1976.0,COLOMBIA,Male,SEATTLE NON-DETAINED DOCKET,a56623004cb41a8f99dd0fbd239cfec8662a51b6,2023-09-11 09:09:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,240187
2023-09-11,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,,,YES,2024-04-24,1991.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,0651db7db7c752563ba868fb65e9bb25b7da7edc,2023-09-11 10:15:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,9205
2023-09-11,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[2A] Deportable - Under Adjudication by IJ,,,NO,,2003.0,COLOMBIA,Female,SEATTLE NON-DETAINED DOCKET,82e4ab89b71df2f7f1c9a232237bc1ad7fbd4b73,2023-09-11 10:27:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,190030
2023-09-11,WASHINGTON,Seattle Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2023-10-10,MEXICO,YES,2023-09-28,1987.0,MEXICO,Male,Spokane CAP,9f3ebcdf2886b4436233a44fec94858dbf29115e,2023-09-11 12:03:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,231169
2023-09-12,WASHINGTON,Seattle Area of Responsibility,ERO Criminal Alien Program,ICE,Located,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-01-21,MEXICO,YES,2025-01-13,1992.0,MEXICO,Male,WENATCHEE CITY PD,0bc69d8c44a7f2b46ee72666bd63bbfb18c3f8b1,2023-09-12 12:24:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,17146
2023-09-12,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1994.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,88601f500be400267ce0c63b6c3334303235fa85,2023-09-12 13:31:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,197902
2023-09-12,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1988.0,NICARAGUA,Female,SEATTLE NON-DETAINED DOCKET,9b365952ddb5fabb8d45ddaf03e1e73b3fd1719c,2023-09-12 14:21:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,225298
2023-09-12,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1980.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,2f4f00760816799ae618dafcd4c24477c82c9b57,2023-09-12 14:35:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,68594
2023-09-13,WASHINGTON,Seattle Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1974.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,2a97afe6f5da67ebca879c12e5efb6bfe0605ed7,2023-09-13 07:26:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,61850
2023-09-13,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1993.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,d5c0424ed837c4801095285e8dc9049563132a17,2023-09-13 08:05:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,310613
2023-09-13,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1997.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,cfde85d19437a0584c413becf837dfd8541a3905,2023-09-13 08:48:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,301862
2023-09-13,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Other efforts,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8F] Expedited Removal,2023-09-14,GUATEMALA,YES,2023-09-06,1998.0,GUATEMALA,Female,SEATTLE NON-DETAINED DOCKET,271b96b9f28980dbb2a8d62f40dc2530b6bf78d6,2023-09-13 09:00:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,56902
2023-09-13,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Other efforts,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8F] Expedited Removal,2023-09-14,GUATEMALA,YES,2023-09-06,2019.0,GUATEMALA,Male,SEATTLE NON-DETAINED DOCKET,2bccfa0697fd620c9fe392f4b9a2698a4b817e3d,2023-09-13 09:00:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,63558
2023-09-13,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1981.0,MEXICO,Female,YAKIMA NON DETAINED DOCKET,ad54b26f88e38763e828000a993a7b4d0d5b6283,2023-09-13 09:00:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,251711
